product,kcal_per_100g,carbohydrate_g_per_100g,sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,sodium_mg_per_100g,macro_estimated_kcal,label_minus_estimate_kcal,formula
참크래커,459.5,73.0,2.7,10.8,13.5,7.6,649,169.0,1.0,"100/37; carbohydrate*4 + protein*4 + fat*9"
아이비,434.8,69.6,<4.3,8.7,12.6,7.8,696,98.1,1.9,"100/23; carbohydrate*4 + protein*4 + fat*9"
제크 오리지널,490.0,66.0,8.0,6.0,22.0,12.0,800,243.0,2.0,"100/50; carbohydrate*4 + protein*4 + fat*9"
오리온 초코칩쿠키,512.5,65.6,28.1,6.3,25.0,12.5,313,320.0,8.0,"100/64; carbohydrate*4 + protein*4 + fat*9"
포테토칩 오리지널,566.7,,,,,,,,,"100/60; 공식 페이지에 열량만 공개"
