rank,item,category,index_2025_07,index_2026_07,yoy_pct
122,병원약품,보건,93.28,92.24,-1.11
123,사과,식료품·비주류음료,172.93,170.88,-1.19
124,조제약,보건,93.58,92.45,-1.21
125,도로통행료,교통,97.28,95.82,-1.50
126,당근,식료품·비주류음료,83.00,81.64,-1.64
127,두유,식료품·비주류음료,129.32,126.71,-2.02
128,세탁세제,가정용품,130.35,127.71,-2.03
129,두부,식료품·비주류음료,111.01,107.72,-2.96
130,풋고추,식료품·비주류음료,121.37,117.22,-3.42
131,토마토,식료품·비주류음료,87.78,84.71,-3.50
132,생리대,보건,115.22,110.64,-3.98
133,마늘,식료품·비주류음료,145.84,137.21,-5.92
134,양파,식료품·비주류음료,91.72,84.05,-8.36
135,깻잎,식료품·비주류음료,108.83,98.61,-9.39
136,무,식료품·비주류음료,107.22,95.67,-10.77
137,수박,식료품·비주류음료,154.87,137.68,-11.10
138,오이,식료품·비주류음료,110.38,95.10,-13.84
139,호박,식료품·비주류음료,89.32,75.12,-15.90
140,부추,식료품·비주류음료,88.43,72.84,-17.63
141,배추,식료품·비주류음료,100.72,82.23,-18.36
142,귤,식료품·비주류음료,262.07,210.53,-19.67
143,시금치,식료품·비주류음료,162.18,127.70,-21.26
144,유치원납입금,교육,67.62,39.71,-41.27
