"전국","자장면",133.99,136.98,136.93,137.77,138.13,138.24,138.32
"전국","짬뽕",129.78,132.85,132.86,133.64,133.95,134.30,134.38
"전국","김밥",138.61,142.24,142.61,143.10,143.82,143.91,144.78
"전국","떡볶이",135.09,138.35,138.86,139.73,140.24,140.24,140.48
"전국","치킨",129.36,131.09,131.31,131.47,131.77,132.11,132.06
"전국","햄버거",137.20,139.59,140.82,140.82,140.82,141.81,141.81
"전국","피자",119.57,119.68,119.68,119.68,119.68,119.68,119.68
"전국","커피(외식)",111.43,111.51,111.51,111.51,111.48,111.58,111.58
"전국","기타음료(외식)",107.34,107.34,107.34,107.34,107.34,107.43,107.43
"전국","소주(외식)",115.82,116.68,116.68,116.73,116.73,116.93,118.50
"전국","맥주(외식)",118.75,119.43,119.45,119.63,119.64,119.71,120.83
"전국","구내식당식사비",124.19,125.16,125.93,126.24,126.29,126.36,126.75
"전국","식품 이외",115.12,117.37,118.81,119.95,120.43,120.34,118.76
"전국","담배",99.77,99.77,99.77,99.77,99.77,99.77,99.77
"전국","남자하의",123.64,123.64,123.64,123.64,123.64,123.64,123.64
"전국","남자내의",109.28,111.07,111.15,111.19,111.32,111.40,111.42
"전국","여자하의",119.02,119.02,119.02,119.02,123.83,123.83,123.83
"전국","여자내의",109.19,109.58,109.64,109.27,109.67,109.79,110.11
"전국","티셔츠",123.77,123.77,123.77,123.77,123.77,123.77,123.77
"전국","유아동복",117.84,120.61,120.61,120.61,120.11,120.11,120.11
"전국","양말",103.81,104.26,104.25,104.25,104.20,104.24,104.29
"전국","운동화",111.42,111.42,111.42,111.42,115.05,115.05,115.05
"전국","상수도료",116.82,118.54,118.55,118.55,118.87,118.87,119.50
"전국","하수도료",121.96,131.86,131.86,131.86,132.31,132.31,132.31
"전국","공동주택관리비",126.46,131.63,131.33,130.76,131.70,131.06,130.91
"전국","쓰레기봉투료",106.23,106.49,106.49,106.18,106.10,106.10,106.10
"전국","전기료",126.47,142.16,142.16,142.16,142.16,142.16,126.47
"전국","도시가스",145.85,146.10,146.10,146.10,146.10,146.10,146.21
"전국","가전제품렌탈비",96.51,96.69,96.69,96.69,97.21,97.21,97.21
"전국","부엌용용구",120.95,119.60,120.47,119.55,122.14,124.09,129.03
"전국","세탁세제",130.35,125.64,120.60,121.92,132.82,128.08,127.71
"전국","섬유유연제",145.49,153.18,151.31,152.35,154.45,152.05,154.82
"전국","부엌용세제",118.79,123.50,121.15,121.38,121.41,122.58,122.82
"전국","소염진통제",115.46,115.47,115.50,115.60,115.56,115.48,115.45
"전국","조제약",93.58,92.78,92.78,92.78,92.56,92.45,92.45
"전국","건강기능식품",103.79,102.68,104.02,102.68,102.68,102.68,102.68
"전국","병원약품",93.28,92.58,92.58,92.58,92.40,92.24,92.24
"전국","생리대",115.22,111.50,119.55,108.71,110.24,109.46,110.64
"전국","마스크",71.06,70.82,70.62,70.62,70.76,70.70,70.88
"전국","외래진료비",109.26,111.43,111.43,111.43,111.43,111.43,111.43
"전국","한방진료비",117.29,119.47,119.47,119.47,119.47,119.47,119.47
"전국","약국조제료",116.03,119.90,119.90,119.90,119.90,119.90,119.90
"전국","치과진료비",112.96,115.25,115.25,115.25,115.25,115.25,115.25
"전국","휘발유",120.27,121.20,131.60,143.01,144.69,144.48,135.46
"전국","경유",128.17,132.15,152.52,164.90,167.13,166.93,155.79
"전국","도로통행료",97.28,95.82,95.82,95.82,95.82,95.82,95.82
"전국","도시철도료",120.08,120.08,120.08,120.08,120.08,120.08,120.08
"전국","시내버스료",112.72,117.03,117.03,116.96,116.96,116.96,116.96
"전국","택시료",122.84,123.79,123.82,123.82,123.82,123.82,124.42
"전국","택배이용료",114.97,114.94,114.73,114.94,114.70,114.65,114.65
"전국","휴대전화료",101.94,102.07,102.06,102.07,102.04,102.03,102.04
